item_category,item_name,item_description,item_price,
Vornwech,Würzfleisch vom Schwein,mit Cheddar überbacken,7.90€
Vornwech,Kürbiscremesuppe,mit gerösteten Kürbiskernen,7.60€
Vornwech,Ukrainische Soljanka,Schmand | Baguette ,7.70€
Vornwech,Zwiebel-Knoblauch Suppe,Kräutercroutons ,7.20€
Ohne Fläsch,Penne mit Grillgemüse,In Bärlauch Pesto geschwenkt,18.70€
Ohne Fläsch,Spinat-Käse Knödel,auf Tomatensuco mit Cheddar überbacken,18.50€
Ohne Fläsch,Grünkohl-Hanf-Bällchen,auf Butterpilzrahm,18.70€
Ohne Fläsch,Ofenkartoffel,Mit Kräuterschmand und Salatbouquet,12.70€
Ohne Fläsch,Hirtenkäse,Peperoni | Tomaten | Bärlauch Pesto,11.90€
Ohne Fläsch,Rote Bette Knödel,auf Steinpilzragout,18.90€
Grünzeuch,Mühlensalat mit Hausdressing,Blattsalate | Tomaten | Gurken | Radieschen,6.50€
Grünzeuch,Gurkensalat,angemacht mit Dill-Essig-Öl,6.50€
Grünzeuch,Großer Mühlensalat,Hausdressing | Tomaten | Gurken | Radieschen | Paprika | Ei,14.20€
Aus´m Wasser,Forelle „Müllerin“ (entgrätet),Petersilienkartoffeln | Kräuterbutter | Salatbouquet,19.80€
Aus´m Wasser,Rauchmatjesfilet,Bratkartoffeln | Hausfrauensauce| Salatbouquet,19.70€
Fläschiges,Schweinerückensteak „Au Four“,Würzfleisch | Käse überbacken | Mühlendipper | geräucherte Knoblauchmayonnaise,20.90€
Fläschiges,Penne mit Hähnchen, in Tomaten-Paprika-Bacon Soße,19.80€
Fläschiges,Ochsen Burger (200gr.),Laugenbun | Tomate | Gewürzgurke| rote Zwiebel Süßkartoffelpommes | geräucherte Knoblauchmayonnaise,19.90€
Fläschiges,Rumpsteak (Irland | 300gr.),Mühlendipper | geräucherte Knoblauchmayonnaise | Kräuterbutter | kleiner Mühlensalat,29.90€
Fläschiges,BBQ-Rinder Short Rips,Mühlendipper | Coleslaw | Dips,31.30€
Fläschiges,Rostbrätel,Bratkartoffeln | Schmorzwiebeln | Senf | Salatbouquet,17.90€
Aus dem Ofenrohr,Rinderroulade,Thüringer Kloß | Rotkohl,20.90€
Aus dem Ofenrohr,Geschmortes Irisches Ochsenbäckchen,Thüringer Kloß | Rotkohl,22.90€
Aus dem Ofenrohr,Halbe Ente (entbeint),Thüringer Kloß | Rotkohl,21.90€
Schnitzel geht immer,Schweinerücken-<br>schnitzel,Mühlendipper | geräucherte Knoblauchmayonnaise | Gurkensalat,18.90€
Schnitzel geht immer,Schweinerückenschnitzel mit 2 Setzeiern,Mühlendipper | geräucherte Knoblauchmayonnaise | Gurkensalat,20.90€
Schnitzel geht immer,Schweinerückenschnitzel mit Rahmchampignons,Kroketten,20.90€
Schnitzel geht immer,Schweinerückenschnitzel Würzfleisch,Mühlendipper | geräucherte Knoblauchmayonnaise,22.90€
Schnitzel geht immer,Schweinerückenschnitzel „Stinkemüller“,überbacken mit Bacon & Knoblauch| Bratkartoffeln,23.90€
Schnitzel geht immer,Schweinerückenschnitzel „Bergsteiger“,überbacken mit geschmorten Zwiebel & Speck | süßer Senf | Bergkäse Bratkartoffeln,24.90€
Für unsere kleinen Gäste,Schnitzel,Mühlendipper | Ketchup,7.50€
Für unsere kleinen Gäste,Chicken Nuggets,Mühlendipper | Ketchup,6.90€
Für unsere kleinen Gäste,1 Kloß mit Soße,,6.50€
Für unsere kleinen Gäste,Nudel mit Tomatensoße,,6.50€
Für unsere kleinen Gäste,3 Kartoffelpuffer,Apfelmuss,5.90€
Süßes Zeuch,Warmer Schokokuchen,Mango-Apfel-Chutney | Sauerrahmeis,7.50€
Süßes Zeuch,Gebackene Siegelbacher „Klossknubel“,Vanillesoße | Maroneneis,7.90€
Süßes Zeuch,Apfelstrudel mit Vanilleeis,,7.90€